"GEOID","STATE_FIPS_CODE","COUNTY_FIPS_CODE","COMPOUND","YEAR","State","County.Name","ANSI.class","KG_EPhigh","KG_EPlow","USPS","ANSICODE","NAME","POP10","HU10","ALAND","AWATER","ALAND_SQMI","AWATER_SQMI","INTPTLAT","INTPTLONG","density_low","density_high"
"39001",39,1,"ACETAMIPRID",2003,"OH","Adams County","H1",0.6,NA,"OH",1074014,"Adams County",28550,12978,1512208946,6165954,583.867,2.381,38.841681,-83.474173,NA,0.00102763129274304
"39001",39,1,"ACETAMIPRID",2004,"OH","Adams County","H1",0.2,NA,"OH",1074014,"Adams County",28550,12978,1512208946,6165954,583.867,2.381,38.841681,-83.474173,NA,0.00034254376424768
"39001",39,1,"ACETAMIPRID",2005,"OH","Adams County","H1",0.2,NA,"OH",1074014,"Adams County",28550,12978,1512208946,6165954,583.867,2.381,38.841681,-83.474173,NA,0.00034254376424768
"39001",39,1,"ACETAMIPRID",2006,"OH","Adams County","H1",0.8,NA,"OH",1074014,"Adams County",28550,12978,1512208946,6165954,583.867,2.381,38.841681,-83.474173,NA,0.00137017505699072
"39001",39,1,"ACETAMIPRID",2007,"OH","Adams County","H1",1.5,NA,"OH",1074014,"Adams County",28550,12978,1512208946,6165954,583.867,2.381,38.841681,-83.474173,NA,0.0025690782318576
"39001",39,1,"ACETAMIPRID",2008,"OH","Adams County","H1",2.6,NA,"OH",1074014,"Adams County",28550,12978,1512208946,6165954,583.867,2.381,38.841681,-83.474173,NA,0.00445306893521984
"39001",39,1,"ACETAMIPRID",2009,"OH","Adams County","H1",1.8,NA,"OH",1074014,"Adams County",28550,12978,1512208946,6165954,583.867,2.381,38.841681,-83.474173,NA,0.00308289387822912
"39001",39,1,"CLOTHIANIDIN",2004,"OH","Adams County","H1",9.8,9.8,"OH",1074014,"Adams County",28550,12978,1512208946,6165954,583.867,2.381,38.841681,-83.474173,0.0167846444481363,0.0167846444481363
"39001",39,1,"CLOTHIANIDIN",2005,"OH","Adams County","H1",27.9,27.9,"OH",1074014,"Adams County",28550,12978,1512208946,6165954,583.867,2.381,38.841681,-83.474173,0.0477848551125513,0.0477848551125513
"39001",39,1,"CLOTHIANIDIN",2006,"OH","Adams County","H1",8.3,8.3,"OH",1074014,"Adams County",28550,12978,1512208946,6165954,583.867,2.381,38.841681,-83.474173,0.0142155662162787,0.0142155662162787
"39001",39,1,"CLOTHIANIDIN",2007,"OH","Adams County","H1",16.1,16.1,"OH",1074014,"Adams County",28550,12978,1512208946,6165954,583.867,2.381,38.841681,-83.474173,0.0275747730219382,0.0275747730219382
"39001",39,1,"CLOTHIANIDIN",2008,"OH","Adams County","H1",25.5,25.5,"OH",1074014,"Adams County",28550,12978,1512208946,6165954,583.867,2.381,38.841681,-83.474173,0.0436743299415792,0.0436743299415792
"39001",39,1,"CLOTHIANIDIN",2009,"OH","Adams County","H1",213.1,213.1,"OH",1074014,"Adams County",28550,12978,1512208946,6165954,583.867,2.381,38.841681,-83.474173,0.364980380805903,0.364980380805903
"39001",39,1,"IMIDACLOPRID",1995,"OH","Adams County","H1",0.6,0.1,"OH",1074014,"Adams County",28550,12978,1512208946,6165954,583.867,2.381,38.841681,-83.474173,0.00017127188212384,0.00102763129274304
"39001",39,1,"IMIDACLOPRID",1996,"OH","Adams County","H1",0.5,0.1,"OH",1074014,"Adams County",28550,12978,1512208946,6165954,583.867,2.381,38.841681,-83.474173,0.00017127188212384,0.000856359410619199
"39001",39,1,"IMIDACLOPRID",1997,"OH","Adams County","H1",17.8,NA,"OH",1074014,"Adams County",28550,12978,1512208946,6165954,583.867,2.381,38.841681,-83.474173,NA,0.0304863950180435
"39001",39,1,"IMIDACLOPRID",1998,"OH","Adams County","H1",35.5,NA,"OH",1074014,"Adams County",28550,12978,1512208946,6165954,583.867,2.381,38.841681,-83.474173,NA,0.0608015181539631
"39001",39,1,"IMIDACLOPRID",1999,"OH","Adams County","H1",43.2,41.8,"OH",1074014,"Adams County",28550,12978,1512208946,6165954,583.867,2.381,38.841681,-83.474173,0.0715916467277651,0.0739894530774988
"39001",39,1,"IMIDACLOPRID",2000,"OH","Adams County","H1",28.5,28.5,"OH",1074014,"Adams County",28550,12978,1512208946,6165954,583.867,2.381,38.841681,-83.474173,0.0488124864052944,0.0488124864052944
"39001",39,1,"IMIDACLOPRID",2001,"OH","Adams County","H1",20.7,20.7,"OH",1074014,"Adams County",28550,12978,1512208946,6165954,583.867,2.381,38.841681,-83.474173,0.0354532795996348,0.0354532795996348
"39001",39,1,"IMIDACLOPRID",2002,"OH","Adams County","H1",9,9,"OH",1074014,"Adams County",28550,12978,1512208946,6165954,583.867,2.381,38.841681,-83.474173,0.0154144693911456,0.0154144693911456
"39001",39,1,"IMIDACLOPRID",2003,"OH","Adams County","H1",19.9,19.7,"OH",1074014,"Adams County",28550,12978,1512208946,6165954,583.867,2.381,38.841681,-83.474173,0.0337405607783965,0.0340831045426441
"39001",39,1,"IMIDACLOPRID",2004,"OH","Adams County","H1",36.3,13.6,"OH",1074014,"Adams County",28550,12978,1512208946,6165954,583.867,2.381,38.841681,-83.474173,0.0232929759688422,0.0621716932109539
"39001",39,1,"IMIDACLOPRID",2005,"OH","Adams County","H1",39.2,26.9,"OH",1074014,"Adams County",28550,12978,1512208946,6165954,583.867,2.381,38.841681,-83.474173,0.0460721362913129,0.0671385777925452
"39001",39,1,"IMIDACLOPRID",2006,"OH","Adams County","H1",48,38.8,"OH",1074014,"Adams County",28550,12978,1512208946,6165954,583.867,2.381,38.841681,-83.474173,0.0664534902640499,0.0822105034194431
