"GEOID","YEAR","pix","MOAuse","high_kg_km2ag"
"18001",1992,832986,"her_O",17.5713237277297
"18001",1992,832986,"ins_1",10.509447004178
"18001",1992,832986,"her_E",1.4279284939296
"18001",1992,832986,"her_K",186.754772722604
"18001",1992,832986,"fun_M",1.49675718172668
"18001",1992,832986,"her_C",144.40325394291
"18001",1992,832986,"ins_11",0.000800333579035742
"18001",1992,832986,"fun_B",0.254772855993045
"18001",1992,832986,"her_N",16.1739412987333
"18001",1992,832986,"her_B",3.44210133450289
"18001",1992,832986,"her_A",0.782859629226795
"18001",1992,832986,"her_F",2.48983776438019
"18001",1992,832986,"ins_U",0.000400166789517871
"18001",1992,832986,"her_M",0.00013338892983929
"18001",1992,832986,"her_D",0.547161390200769
"18001",1992,832986,"fun_U",0.0069362243516431
"18001",1992,832986,"ins_2",0.0823009697108422
"18001",1992,832986,"ins_3",0.252105077396259
"18001",1992,832986,"fun_G",0.0924385283786282
"18001",1992,832986,"her_G",6.94276040920522
"18001",1992,832986,"fun_A",0.0373489003550013
"18001",1992,832986,"her_Z",0.33640688105469
"18001",1992,832986,"her_P",0.90784505648621
"18001",1992,832986,"ins_12",0.000533555719357161
"18001",1993,832888.333333333,"her_O",18.7464105832515
"18001",1993,832888.333333333,"ins_1",6.46105020080723
"18001",1993,832888.333333333,"her_E",2.8599272011254
"18001",1993,832888.333333333,"her_K",132.550115094794
"18001",1993,832888.333333333,"her_C",105.854259507911
"18001",1993,832888.333333333,"ins_11",0.00840448799659018
"18001",1993,832888.333333333,"fun_B",0.0114727931382025
"18001",1993,832888.333333333,"her_N",6.1255377038005
"18001",1993,832888.333333333,"fun_M",2.12046566199684
"18001",1993,832888.333333333,"her_B",3.77468234703999
"18001",1993,832888.333333333,"her_A",2.56523650295925
"18001",1993,832888.333333333,"her_F",3.52001302028617
"18001",1993,832888.333333333,"ins_U",0.000667022856872236
"18001",1993,832888.333333333,"her_D",1.02201242129964
"18001",1993,832888.333333333,"fun_U",0.00667022856872236
"18001",1993,832888.333333333,"ins_2",0.00346851885573563
"18001",1993,832888.333333333,"ins_3",0.207177299344517
"18001",1993,832888.333333333,"fun_G",0.128468602233593
"18001",1993,832888.333333333,"ins_12",0.00320170971298673
"18001",1993,832888.333333333,"her_G",24.3652777249718
"18001",1993,832888.333333333,"fun_A",0.100320237673584
"18001",1993,832888.333333333,"her_Z",0.0804429565387917
"18001",1993,832888.333333333,"her_P",0.00933831999621131
"18001",1994,832790.666666667,"her_O",17.2414943277729
"18001",1994,832790.666666667,"ins_1",13.4819794650276
"18001",1994,832790.666666667,"her_K",105.64693061455
"18001",1994,832790.666666667,"her_E",2.19716412661258
"18001",1994,832790.666666667,"fun_M",2.4801484059753
"18001",1994,832790.666666667,"her_C",83.7658816754804
"18001",1994,832790.666666667,"ins_11",0.0201464527033337
"18001",1994,832790.666666667,"fun_B",0.00720469169523194
"18001",1994,832790.666666667,"her_N",6.69262490400415
"18001",1994,832790.666666667,"her_B",2.50189590127758
"18001",1994,832790.666666667,"her_A",1.66455062203173
"18001",1994,832790.666666667,"her_F",0.326079009317534
"18001",1994,832790.666666667,"ins_U",0.00400260649735108
"18001",1994,832790.666666667,"fun_U",0.00573706931286987
"18001",1994,832790.666666667,"ins_2",0.011207298192583
"18001",1994,832790.666666667,"ins_3",0.342889956606409
"18001",1994,832790.666666667,"fun_F",1.81838413174659
"18001",1994,832790.666666667,"fun_G",0.221877820169828
"18001",1994,832790.666666667,"her_G",10.9698102070735
"18001",1994,832790.666666667,"fun_A",0.108604056294793
"18001",1994,832790.666666667,"her_Z",0.671770790472089
"18001",1994,832790.666666667,"her_P",0.0177448888049231
"18001",1994,832790.666666667,"her_D",0.173713121985037
"18001",1994,832790.666666667,"ins_12",0.000266840433156738
"18001",1995,832693,"her_O",31.7122343475393
"18001",1995,832693,"ins_1",11.4963004239124
"18001",1995,832693,"her_K",198.906706580003
"18001",1995,832693,"her_E",5.39200988706389
"18001",1995,832693,"her_C",97.0156134640524
"18001",1995,832693,"ins_11",0.0304233773231351
"18001",1995,832693,"fun_B",0.0964741307220468
"18001",1995,832693,"her_N",2.91157058417021
"18001",1995,832693,"fun_M",1.307671481433
"18001",1995,832693,"her_B",6.34861160649176
