"GEOID","NAME","ALAND","INTPTLAT","INTPTLON","reclass","Class.prop","year"
39001,"Adams",1512208955,38.8344683,-83.4780816,"agr",0.293421886701813,2001
39001,"Adams",1512208955,38.8344683,-83.4780816,"forest",0.604610325865854,2001
39001,"Adams",1512208955,38.8344683,-83.4780816,"grass_shrub",0.0491555965266235,2001
39001,"Adams",1512208955,38.8344683,-83.4780816,"urb",0.0488776593699887,2001
39001,"Adams",1512208955,38.8344683,-83.4780816,"wetlands",0.000436248256559454,2001
39003,"Allen",1042470091,40.7716274,-84.1061032,"agr",0.718110591020352,2001
39003,"Allen",1042470091,40.7716274,-84.1061032,"forest",0.0755649608725964,2001
39003,"Allen",1042470091,40.7716274,-84.1061032,"grass_shrub",0.0182666115456252,2001
39003,"Allen",1042470091,40.7716274,-84.1061032,"urb",0.187395508501291,2001
39003,"Allen",1042470091,40.7716274,-84.1061032,"wetlands",0.00304846419168176,2001
39005,"Ashland",1095437984,40.8432735,-82.270127,"agr",0.555192264768554,2001
39005,"Ashland",1095437984,40.8432735,-82.270127,"forest",0.337982661487173,2001
39005,"Ashland",1095437984,40.8432735,-82.270127,"grass_shrub",0.00831455767454402,2001
39005,"Ashland",1095437984,40.8432735,-82.270127,"urb",0.0888803210703727,2001
39005,"Ashland",1095437984,40.8432735,-82.270127,"wetlands",0.0103176102052296,2001
39007,"Ashtabula",1818002613,41.9066381,-80.7455937,"agr",0.348933231539786,2001
39007,"Ashtabula",1818002613,41.9066381,-80.7455937,"forest",0.433835496978329,2001
39007,"Ashtabula",1818002613,41.9066381,-80.7455937,"grass_shrub",0.0551005318192991,2001
39007,"Ashtabula",1818002613,41.9066381,-80.7455937,"urb",0.109813136796653,2001
39007,"Ashtabula",1818002613,41.9066381,-80.7455937,"wetlands",0.0491886262164828,2001
39009,"Athens",1304308760,39.3325699,-82.0458376,"agr",0.192742875911149,2001
39009,"Athens",1304308760,39.3325699,-82.0458376,"forest",0.710950241835511,2001
39009,"Athens",1304308760,39.3325699,-82.0458376,"grass_shrub",0.0142019613790257,2001
39009,"Athens",1304308760,39.3325699,-82.0458376,"urb",0.0842636828142972,2001
39009,"Athens",1304308760,39.3325699,-82.0458376,"wetlands",0.000255306856002309,2001
39011,"Auglaize",1039599291,40.561309,-84.2240177,"agr",0.803302464663773,2001
39011,"Auglaize",1039599291,40.561309,-84.2240177,"forest",0.0673277659188151,2001
39011,"Auglaize",1039599291,40.561309,-84.2240177,"grass_shrub",0.0165776367743682,2001
39011,"Auglaize",1039599291,40.561309,-84.2240177,"urb",0.0989758241756733,2001
39011,"Auglaize",1039599291,40.561309,-84.2240177,"wetlands",0.00233830471186843,2001
